# Region type : patch outlet
# Faces  :    700
# Area   :    1.406158e-05
# Time        	sum(phi)
0             	3.065178e-03
1.19999e-08   	3.059476e-03
2.63997e-08   	3.059432e-03
4.36788e-08   	3.059377e-03
6.44136e-08   	3.059316e-03
8.92947e-08   	3.059244e-03
1.19151e-07   	3.059159e-03
1.54977e-07   	3.059058e-03
1.97967e-07   	3.058943e-03
2.49551e-07   	3.058818e-03
3.11448e-07   	3.058691e-03
3.84694e-07   	3.058583e-03
4.69289e-07   	3.058507e-03
5.65223e-07   	3.058463e-03
6.72467e-07   	3.058437e-03
7.85668e-07   	3.058414e-03
8.98843e-07   	3.058389e-03
1.01199e-06   	3.058367e-03
1.12517e-06   	3.058352e-03
1.23839e-06   	3.058344e-03
1.35164e-06   	3.058345e-03
1.4649e-06    	3.058354e-03
1.57812e-06   	3.058371e-03
1.69135e-06   	3.058392e-03
1.80455e-06   	3.058416e-03
1.91775e-06   	3.058435e-03
2.03095e-06   	3.058448e-03
2.14418e-06   	3.058449e-03
2.2574e-06    	3.058436e-03
2.3706e-06    	3.058406e-03
2.48375e-06   	3.058357e-03
2.5969e-06    	3.058287e-03
2.71003e-06   	3.058194e-03
2.82315e-06   	3.058077e-03
2.93627e-06   	3.057937e-03
3.04939e-06   	3.057772e-03
3.16254e-06   	3.057585e-03
3.27569e-06   	3.057374e-03
3.38882e-06   	3.057143e-03
3.50194e-06   	3.056891e-03
3.61504e-06   	3.056622e-03
3.72813e-06   	3.056342e-03
3.84126e-06   	3.056057e-03
3.95438e-06   	3.055771e-03
4.06753e-06   	3.055485e-03
4.18063e-06   	3.055200e-03
4.29367e-06   	3.054918e-03
4.40669e-06   	3.054642e-03
4.51969e-06   	3.054373e-03
4.63268e-06   	3.054108e-03
4.74568e-06   	3.053852e-03
4.8587e-06    	3.053608e-03
4.97174e-06   	3.053373e-03
5.08484e-06   	3.053142e-03
5.19799e-06   	3.052911e-03
5.31124e-06   	3.052679e-03
5.4246e-06    	3.052445e-03
5.53809e-06   	3.052208e-03
5.65173e-06   	3.051969e-03
5.76553e-06   	3.051729e-03
5.87951e-06   	3.051485e-03
5.99371e-06   	3.051237e-03
6.10814e-06   	3.050983e-03
6.22284e-06   	3.050728e-03
6.33773e-06   	3.050471e-03
6.45264e-06   	3.050210e-03
6.5676e-06    	3.049944e-03
6.68249e-06   	3.049672e-03
6.79732e-06   	3.049396e-03
6.9121e-06    	3.049119e-03
7.02685e-06   	3.048841e-03
7.1416e-06    	3.048567e-03
7.25635e-06   	3.048300e-03
7.37113e-06   	3.048043e-03
7.48594e-06   	3.047793e-03
7.60072e-06   	3.047550e-03
7.71541e-06   	3.047311e-03
7.83006e-06   	3.047078e-03
7.94465e-06   	3.046859e-03
8.05921e-06   	3.046647e-03
