# Region type : patch inlet
# Faces  :    700
# Area   :    1.406158e-05
# Time        	areaAverage(TMean)	areaAverage(UMean)
0             
1.19999e-08   	5.787000e+02	(-1.741846e-01 1.691389e+00 9.998554e+01)
2.63997e-08   	5.787000e+02	(-1.740847e-01 1.691199e+00 9.998555e+01)
4.36788e-08   	5.787000e+02	(-1.739614e-01 1.690968e+00 9.998555e+01)
6.44136e-08   	5.787000e+02	(-1.738074e-01 1.690685e+00 9.998556e+01)
8.92947e-08   	5.787000e+02	(-1.736116e-01 1.690340e+00 9.998556e+01)
1.19151e-07   	5.787000e+02	(-1.733585e-01 1.689920e+00 9.998557e+01)
1.54977e-07   	5.787000e+02	(-1.730267e-01 1.689411e+00 9.998558e+01)
1.97967e-07   	5.787000e+02	(-1.725870e-01 1.688795e+00 9.998559e+01)
2.49551e-07   	5.787000e+02	(-1.719991e-01 1.688039e+00 9.998560e+01)
3.11448e-07   	5.787000e+02	(-1.712109e-01 1.687082e+00 9.998562e+01)
3.84694e-07   	5.787000e+02	(-1.701868e-01 1.685850e+00 9.998564e+01)
4.69289e-07   	5.787000e+02	(-1.689307e-01 1.684273e+00 9.998567e+01)
5.65223e-07   	5.787000e+02	(-1.674594e-01 1.682290e+00 9.998571e+01)
6.72467e-07   	5.787000e+02	(-1.657778e-01 1.679845e+00 9.998575e+01)
7.85668e-07   	5.787000e+02	(-1.639727e-01 1.677069e+00 9.998580e+01)
8.98843e-07   	5.787000e+02	(-1.621235e-01 1.674137e+00 9.998585e+01)
1.01199e-06   	5.787000e+02	(-1.601884e-01 1.671034e+00 9.998591e+01)
1.12517e-06   	5.787000e+02	(-1.581406e-01 1.667753e+00 9.998597e+01)
1.23839e-06   	5.787000e+02	(-1.559658e-01 1.664291e+00 9.998603e+01)
1.35164e-06   	5.787000e+02	(-1.536582e-01 1.660648e+00 9.998609e+01)
1.4649e-06    	5.787000e+02	(-1.512163e-01 1.656826e+00 9.998616e+01)
1.57812e-06   	5.787000e+02	(-1.486408e-01 1.652822e+00 9.998622e+01)
1.69135e-06   	5.787000e+02	(-1.459323e-01 1.648632e+00 9.998630e+01)
1.80455e-06   	5.787000e+02	(-1.430938e-01 1.644259e+00 9.998637e+01)
1.91775e-06   	5.787000e+02	(-1.401284e-01 1.639705e+00 9.998645e+01)
2.03095e-06   	5.787000e+02	(-1.370420e-01 1.634979e+00 9.998653e+01)
2.14418e-06   	5.787000e+02	(-1.338419e-01 1.630095e+00 9.998661e+01)
2.2574e-06    	5.787000e+02	(-1.305400e-01 1.625069e+00 9.998669e+01)
2.3706e-06    	5.787000e+02	(-1.271500e-01 1.619923e+00 9.998678e+01)
2.48375e-06   	5.787000e+02	(-1.236875e-01 1.614673e+00 9.998686e+01)
2.5969e-06    	5.787000e+02	(-1.201655e-01 1.609332e+00 9.998695e+01)
2.71003e-06   	5.787000e+02	(-1.165993e-01 1.603915e+00 9.998704e+01)
2.82315e-06   	5.787000e+02	(-1.130008e-01 1.598430e+00 9.998713e+01)
2.93627e-06   	5.787000e+02	(-1.093812e-01 1.592887e+00 9.998722e+01)
3.04939e-06   	5.787000e+02	(-1.057495e-01 1.587290e+00 9.998730e+01)
3.16254e-06   	5.787000e+02	(-1.021119e-01 1.581644e+00 9.998739e+01)
3.27569e-06   	5.787000e+02	(-9.847514e-02 1.575956e+00 9.998748e+01)
3.38882e-06   	5.787000e+02	(-9.484451e-02 1.570232e+00 9.998757e+01)
3.50194e-06   	5.787000e+02	(-9.122297e-02 1.564474e+00 9.998766e+01)
3.61504e-06   	5.787000e+02	(-8.761465e-02 1.558688e+00 9.998775e+01)
3.72813e-06   	5.787000e+02	(-8.402161e-02 1.552879e+00 9.998784e+01)
3.84126e-06   	5.787000e+02	(-8.044569e-02 1.547048e+00 9.998792e+01)
3.95438e-06   	5.787000e+02	(-7.689033e-02 1.541201e+00 9.998801e+01)
4.06753e-06   	5.787000e+02	(-7.335712e-02 1.535341e+00 9.998810e+01)
4.18063e-06   	5.787000e+02	(-6.985073e-02 1.529477e+00 9.998819e+01)
4.29367e-06   	5.787000e+02	(-6.637308e-02 1.523611e+00 9.998827e+01)
4.40669e-06   	5.787000e+02	(-6.292512e-02 1.517747e+00 9.998836e+01)
4.51969e-06   	5.787000e+02	(-5.950852e-02 1.511888e+00 9.998844e+01)
4.63268e-06   	5.787000e+02	(-5.612405e-02 1.506035e+00 9.998853e+01)
4.74568e-06   	5.787000e+02	(-5.277317e-02 1.500193e+00 9.998861e+01)
4.8587e-06    	5.787000e+02	(-4.945643e-02 1.494362e+00 9.998869e+01)
4.97174e-06   	5.787000e+02	(-4.617512e-02 1.488546e+00 9.998877e+01)
5.08484e-06   	5.787000e+02	(-4.292973e-02 1.482746e+00 9.998886e+01)
5.19799e-06   	5.787000e+02	(-3.972151e-02 1.476964e+00 9.998894e+01)
5.31124e-06   	5.787000e+02	(-3.655028e-02 1.471200e+00 9.998902e+01)
5.4246e-06    	5.787000e+02	(-3.341744e-02 1.465454e+00 9.998909e+01)
5.53809e-06   	5.787000e+02	(-3.032367e-02 1.459727e+00 9.998917e+01)
5.65173e-06   	5.787000e+02	(-2.726970e-02 1.454018e+00 9.998925e+01)
5.76553e-06   	5.787000e+02	(-2.425700e-02 1.448328e+00 9.998933e+01)
5.87951e-06   	5.787000e+02	(-2.128630e-02 1.442655e+00 9.998940e+01)
5.99371e-06   	5.787000e+02	(-1.835827e-02 1.436998e+00 9.998948e+01)
6.10814e-06   	5.787000e+02	(-1.547347e-02 1.431355e+00 9.998955e+01)
6.22284e-06   	5.787000e+02	(-1.263230e-02 1.425725e+00 9.998963e+01)
6.33773e-06   	5.787000e+02	(-9.837682e-03 1.420111e+00 9.998970e+01)
6.45264e-06   	5.787000e+02	(-7.094152e-03 1.414521e+00 9.998977e+01)
6.5676e-06    	5.787000e+02	(-4.401346e-03 1.408952e+00 9.998985e+01)
6.68249e-06   	5.787000e+02	(-1.762608e-03 1.403411e+00 9.998992e+01)
6.79732e-06   	5.787000e+02	(8.226511e-04 1.397895e+00 9.998999e+01)
6.9121e-06    	5.787000e+02	(3.354310e-03 1.392404e+00 9.999006e+01)
7.02685e-06   	5.787000e+02	(5.832697e-03 1.386936e+00 9.999013e+01)
7.1416e-06    	5.787000e+02	(8.257909e-03 1.381489e+00 9.999020e+01)
7.25635e-06   	5.787000e+02	(1.062922e-02 1.376062e+00 9.999026e+01)
7.37113e-06   	5.787000e+02	(1.294626e-02 1.370653e+00 9.999033e+01)
7.48594e-06   	5.787000e+02	(1.520785e-02 1.365260e+00 9.999040e+01)
7.60072e-06   	5.787000e+02	(1.741167e-02 1.359887e+00 9.999046e+01)
7.71541e-06   	5.787000e+02	(1.955537e-02 1.354534e+00 9.999053e+01)
7.83006e-06   	5.787000e+02	(2.163816e-02 1.349199e+00 9.999060e+01)
7.94465e-06   	5.787000e+02	(2.365871e-02 1.343881e+00 9.999066e+01)
8.05921e-06   	5.787000e+02	(2.561618e-02 1.338578e+00 9.999072e+01)
8.17378e-06   	5.787000e+02	(2.750974e-02 1.333289e+00 9.999079e+01)
8.28834e-06   	5.787000e+02	(2.933815e-02 1.328013e+00 9.999085e+01)
8.40294e-06   	5.787000e+02	(3.110065e-02 1.322748e+00 9.999091e+01)
8.51745e-06   	5.787000e+02	(3.279456e-02 1.317499e+00 9.999098e+01)
