# Region type : patch outlet
# Faces  :    700
# Area   :    1.406158e-05
# Time        	areaAverage(TMean)	areaAverage(UMean)
0             
1.19999e-08   	9.242970e+02	(-7.281265e-01 4.904345e-02 1.728274e+02)
2.63997e-08   	9.242966e+02	(-7.283025e-01 4.826247e-02 1.728263e+02)
4.36788e-08   	9.242961e+02	(-7.285051e-01 4.731470e-02 1.728250e+02)
6.44136e-08   	9.242955e+02	(-7.287380e-01 4.616405e-02 1.728236e+02)
8.92947e-08   	9.242948e+02	(-7.290091e-01 4.476445e-02 1.728218e+02)
1.19151e-07   	9.242939e+02	(-7.293352e-01 4.305460e-02 1.728199e+02)
1.54977e-07   	9.242926e+02	(-7.297460e-01 4.095204e-02 1.728177e+02)
1.97967e-07   	9.242910e+02	(-7.302856e-01 3.835016e-02 1.728153e+02)
2.49551e-07   	9.242889e+02	(-7.310040e-01 3.512568e-02 1.728128e+02)
3.11448e-07   	9.242862e+02	(-7.319305e-01 3.115882e-02 1.728102e+02)
3.84694e-07   	9.242830e+02	(-7.330050e-01 2.644732e-02 1.728077e+02)
4.69289e-07   	9.242793e+02	(-7.340560e-01 2.112257e-02 1.728055e+02)
5.65223e-07   	9.242748e+02	(-7.349023e-01 1.530068e-02 1.728036e+02)
6.72467e-07   	9.242693e+02	(-7.354837e-01 9.040016e-03 1.728018e+02)
7.85668e-07   	9.242623e+02	(-7.359101e-01 2.710880e-03 1.728002e+02)
8.98843e-07   	9.242541e+02	(-7.363813e-01 -3.387895e-03 1.727987e+02)
1.01199e-06   	9.242444e+02	(-7.370564e-01 -9.381549e-03 1.727974e+02)
1.12517e-06   	9.242334e+02	(-7.379972e-01 -1.533860e-02 1.727960e+02)
1.23839e-06   	9.242213e+02	(-7.391856e-01 -2.128550e-02 1.727947e+02)
1.35164e-06   	9.242082e+02	(-7.405556e-01 -2.722071e-02 1.727933e+02)
1.4649e-06    	9.241943e+02	(-7.420258e-01 -3.313094e-02 1.727919e+02)
1.57812e-06   	9.241799e+02	(-7.435229e-01 -3.900105e-02 1.727904e+02)
1.69135e-06   	9.241650e+02	(-7.449936e-01 -4.482274e-02 1.727889e+02)
1.80455e-06   	9.241500e+02	(-7.464037e-01 -5.059018e-02 1.727874e+02)
1.91775e-06   	9.241349e+02	(-7.477348e-01 -5.630511e-02 1.727858e+02)
2.03095e-06   	9.241199e+02	(-7.489760e-01 -6.197009e-02 1.727843e+02)
2.14418e-06   	9.241051e+02	(-7.501193e-01 -6.758908e-02 1.727827e+02)
2.2574e-06    	9.240908e+02	(-7.511539e-01 -7.316129e-02 1.727811e+02)
2.3706e-06    	9.240770e+02	(-7.520662e-01 -7.868318e-02 1.727795e+02)
2.48375e-06   	9.240639e+02	(-7.528392e-01 -8.414818e-02 1.727779e+02)
2.5969e-06    	9.240517e+02	(-7.534540e-01 -8.955096e-02 1.727763e+02)
2.71003e-06   	9.240406e+02	(-7.538902e-01 -9.488006e-02 1.727746e+02)
2.82315e-06   	9.240305e+02	(-7.541275e-01 -1.001254e-01 1.727729e+02)
2.93627e-06   	9.240217e+02	(-7.541466e-01 -1.052753e-01 1.727711e+02)
3.04939e-06   	9.240143e+02	(-7.539303e-01 -1.103181e-01 1.727693e+02)
3.16254e-06   	9.240082e+02	(-7.534632e-01 -1.152445e-01 1.727675e+02)
3.27569e-06   	9.240035e+02	(-7.527327e-01 -1.200439e-01 1.727657e+02)
3.38882e-06   	9.240004e+02	(-7.517290e-01 -1.247070e-01 1.727638e+02)
3.50194e-06   	9.239987e+02	(-7.504437e-01 -1.292281e-01 1.727619e+02)
3.61504e-06   	9.239986e+02	(-7.488709e-01 -1.336002e-01 1.727600e+02)
3.72813e-06   	9.239999e+02	(-7.470052e-01 -1.378188e-01 1.727581e+02)
3.84126e-06   	9.240027e+02	(-7.448415e-01 -1.418799e-01 1.727562e+02)
3.95438e-06   	9.240067e+02	(-7.423764e-01 -1.457779e-01 1.727543e+02)
4.06753e-06   	9.240120e+02	(-7.396060e-01 -1.495093e-01 1.727524e+02)
4.18063e-06   	9.240185e+02	(-7.365297e-01 -1.530677e-01 1.727505e+02)
4.29367e-06   	9.240261e+02	(-7.331458e-01 -1.564505e-01 1.727486e+02)
4.40669e-06   	9.240346e+02	(-7.294521e-01 -1.596558e-01 1.727468e+02)
4.51969e-06   	9.240440e+02	(-7.254480e-01 -1.626819e-01 1.727450e+02)
4.63268e-06   	9.240543e+02	(-7.211325e-01 -1.655277e-01 1.727433e+02)
4.74568e-06   	9.240652e+02	(-7.165061e-01 -1.681918e-01 1.727415e+02)
4.8587e-06    	9.240768e+02	(-7.115681e-01 -1.706739e-01 1.727399e+02)
4.97174e-06   	9.240889e+02	(-7.063196e-01 -1.729730e-01 1.727382e+02)
5.08484e-06   	9.241015e+02	(-7.007602e-01 -1.750890e-01 1.727366e+02)
5.19799e-06   	9.241146e+02	(-6.948915e-01 -1.770218e-01 1.727351e+02)
5.31124e-06   	9.241281e+02	(-6.887127e-01 -1.787717e-01 1.727335e+02)
5.4246e-06    	9.241421e+02	(-6.822263e-01 -1.803386e-01 1.727320e+02)
5.53809e-06   	9.241565e+02	(-6.754338e-01 -1.817230e-01 1.727304e+02)
5.65173e-06   	9.241713e+02	(-6.683373e-01 -1.829252e-01 1.727289e+02)
5.76553e-06   	9.241865e+02	(-6.609413e-01 -1.839454e-01 1.727274e+02)
5.87951e-06   	9.242022e+02	(-6.532491e-01 -1.847844e-01 1.727259e+02)
5.99371e-06   	9.242182e+02	(-6.452647e-01 -1.854427e-01 1.727244e+02)
6.10814e-06   	9.242346e+02	(-6.369927e-01 -1.859217e-01 1.727230e+02)
6.22284e-06   	9.242514e+02	(-6.284382e-01 -1.862225e-01 1.727215e+02)
6.33773e-06   	9.242687e+02	(-6.196160e-01 -1.863472e-01 1.727200e+02)
6.45264e-06   	9.242863e+02	(-6.105495e-01 -1.862986e-01 1.727185e+02)
6.5676e-06    	9.243044e+02	(-6.012485e-01 -1.860806e-01 1.727170e+02)
6.68249e-06   	9.243229e+02	(-5.917373e-01 -1.856983e-01 1.727156e+02)
6.79732e-06   	9.243417e+02	(-5.820277e-01 -1.851572e-01 1.727141e+02)
6.9121e-06    	9.243609e+02	(-5.721340e-01 -1.844631e-01 1.727127e+02)
7.02685e-06   	9.243806e+02	(-5.620689e-01 -1.836222e-01 1.727112e+02)
7.1416e-06    	9.244005e+02	(-5.518458e-01 -1.826407e-01 1.727098e+02)
