# y+ ()       
# Time        	patch         	min           	max           	average       
0             	walls	7.394442e-01	2.607261e+00	1.586108e+00
0             	heatedWalls	3.745216e-01	2.152981e+00	1.053562e+00
0.0005        	walls	2.334158e-01	1.702974e+00	1.157122e+00
0.0005        	heatedWalls	1.522511e-01	1.489597e+00	8.159581e-01
0.001         	walls	3.646299e-01	1.843158e+00	1.198288e+00
0.001         	heatedWalls	7.781757e-02	1.693222e+00	8.302893e-01
0.0015        	walls	4.047918e-01	1.818173e+00	1.205580e+00
0.0015        	heatedWalls	7.173643e-02	1.496141e+00	8.260603e-01
0.002         	walls	4.535966e-01	1.873137e+00	1.182796e+00
0.002         	heatedWalls	1.220687e-01	1.557116e+00	8.220782e-01
