# Region type : patch outlet
# Faces  :    700
# Area   :    1.406158e-05
# Time        	sum(phi)
0.001         	3.135636e-03
0.0010001     	3.135766e-03
0.00100019    	3.135894e-03
0.00100029    	3.136020e-03
0.00100038    	3.136142e-03
0.00100048    	3.136262e-03
0.00100057    	3.136378e-03
0.00100067    	3.136491e-03
0.00100076    	3.136599e-03
0.00100086    	3.136703e-03
0.00100095    	3.136807e-03
0.00100105    	3.136910e-03
0.00100114    	3.137014e-03
0.00100124    	3.137118e-03
0.00100133    	3.137222e-03
0.00100143    	3.137326e-03
0.00100152    	3.137428e-03
0.00100162    	3.137529e-03
0.00100171    	3.137629e-03
0.00100181    	3.137725e-03
0.0010019     	3.137815e-03
0.001002      	3.137902e-03
0.00100209    	3.137986e-03
0.00100219    	3.138067e-03
0.00100228    	3.138149e-03
0.00100238    	3.138230e-03
0.00100247    	3.138310e-03
0.00100257    	3.138390e-03
0.00100266    	3.138468e-03
0.00100276    	3.138544e-03
0.00100285    	3.138618e-03
0.00100295    	3.138692e-03
0.00100304    	3.138767e-03
0.00100314    	3.138843e-03
0.00100323    	3.138922e-03
0.00100333    	3.139002e-03
0.00100342    	3.139087e-03
0.00100352    	3.139176e-03
0.00100362    	3.139270e-03
0.00100371    	3.139367e-03
0.00100381    	3.139468e-03
0.0010039     	3.139571e-03
0.001004      	3.139675e-03
0.00100409    	3.139785e-03
0.00100419    	3.139899e-03
0.00100428    	3.140016e-03
0.00100438    	3.140136e-03
0.00100447    	3.140259e-03
0.00100457    	3.140386e-03
0.00100466    	3.140516e-03
0.00100476    	3.140651e-03
0.00100485    	3.140791e-03
0.00100495    	3.140936e-03
0.00100504    	3.141091e-03
0.00100514    	3.141254e-03
0.00100524    	3.141422e-03
0.00100533    	3.141596e-03
0.00100543    	3.141774e-03
0.00100552    	3.141956e-03
0.00100562    	3.142143e-03
0.00100571    	3.142334e-03
0.00100581    	3.142529e-03
0.0010059     	3.142727e-03
0.001006      	3.142930e-03
0.00100609    	3.143137e-03
0.00100619    	3.143352e-03
0.00100628    	3.143578e-03
0.00100638    	3.143817e-03
0.00100648    	3.144066e-03
0.00100657    	3.144325e-03
0.00100667    	3.144593e-03
0.00100676    	3.144871e-03
0.00100686    	3.145152e-03
0.00100695    	3.145442e-03
0.00100705    	3.145746e-03
0.00100714    	3.146058e-03
0.00100724    	3.146373e-03
0.00100734    	3.146693e-03
0.00100743    	3.147014e-03
0.00100753    	3.147336e-03
0.00100762    	3.147662e-03
0.00100772    	3.147995e-03
0.00100781    	3.148329e-03
0.00100791    	3.148660e-03
0.001008      	3.148988e-03
0.0010081     	3.149310e-03
0.0010082     	3.149629e-03
0.00100829    	3.149948e-03
0.00100839    	3.150263e-03
0.00100848    	3.150572e-03
0.00100858    	3.150873e-03
0.00100867    	3.151167e-03
0.00100877    	3.151458e-03
0.00100886    	3.151748e-03
0.00100896    	3.152037e-03
0.00100905    	3.152322e-03
0.00100915    	3.152598e-03
0.00100925    	3.152864e-03
0.00100934    	3.153123e-03
0.00100944    	3.153372e-03
0.00100953    	3.153610e-03
0.00100963    	3.153833e-03
0.00100972    	3.154051e-03
0.00100982    	3.154263e-03
0.00100991    	3.154470e-03
0.00101001    	3.154669e-03
0.0010101     	3.154858e-03
0.0010102     	3.155035e-03
0.00101029    	3.155199e-03
0.00101039    	3.155351e-03
0.00101049    	3.155492e-03
0.00101058    	3.155623e-03
0.00101068    	3.155744e-03
0.00101077    	3.155855e-03
0.00101087    	3.155957e-03
0.00101096    	3.156048e-03
0.00101106    	3.156126e-03
0.00101115    	3.156196e-03
0.00101125    	3.156257e-03
0.00101134    	3.156313e-03
0.00101144    	3.156370e-03
0.00101153    	3.156428e-03
0.00101163    	3.156482e-03
0.00101172    	3.156527e-03
0.00101182    	3.156560e-03
0.00101191    	3.156578e-03
0.00101201    	3.156581e-03
0.0010121     	3.156570e-03
0.0010122     	3.156547e-03
0.00101229    	3.156511e-03
0.00101239    	3.156462e-03
0.00101248    	3.156398e-03
0.00101258    	3.156319e-03
0.00101267    	3.156229e-03
0.00101277    	3.156127e-03
0.00101286    	3.156011e-03
0.00101296    	3.155882e-03
0.00101305    	3.155738e-03
0.00101315    	3.155581e-03
0.00101324    	3.155414e-03
0.00101334    	3.155237e-03
0.00101343    	3.155050e-03
0.00101353    	3.154852e-03
0.00101362    	3.154644e-03
0.00101372    	3.154429e-03
0.00101381    	3.154209e-03
0.00101391    	3.153983e-03
0.001014      	3.153749e-03
0.0010141     	3.153509e-03
0.00101419    	3.153263e-03
0.00101429    	3.153014e-03
0.00101438    	3.152761e-03
0.00101448    	3.152506e-03
0.00101457    	3.152246e-03
0.00101467    	3.151982e-03
0.00101476    	3.151715e-03
0.00101486    	3.151444e-03
0.00101495    	3.151171e-03
0.00101505    	3.150895e-03
0.00101514    	3.150615e-03
0.00101523    	3.150328e-03
0.00101533    	3.150034e-03
0.00101542    	3.149734e-03
0.00101552    	3.149430e-03
0.00101561    	3.149123e-03
0.00101571    	3.148814e-03
0.0010158     	3.148504e-03
0.0010159     	3.148193e-03
0.00101599    	3.147883e-03
0.00101609    	3.147572e-03
0.00101618    	3.147262e-03
0.00101628    	3.146954e-03
0.00101637    	3.146650e-03
0.00101647    	3.146349e-03
0.00101656    	3.146049e-03
0.00101666    	3.145750e-03
0.00101675    	3.145455e-03
0.00101685    	3.145166e-03
0.00101694    	3.144883e-03
0.00101704    	3.144608e-03
0.00101713    	3.144337e-03
0.00101723    	3.144074e-03
0.00101732    	3.143823e-03
0.00101742    	3.143582e-03
0.00101751    	3.143352e-03
0.00101761    	3.143131e-03
0.0010177     	3.142917e-03
0.0010178     	3.142709e-03
0.00101789    	3.142507e-03
0.00101799    	3.142310e-03
0.00101808    	3.142116e-03
0.00101818    	3.141927e-03
0.00101827    	3.141748e-03
0.00101837    	3.141581e-03
0.00101846    	3.141426e-03
0.00101856    	3.141280e-03
0.00101865    	3.141140e-03
0.00101875    	3.141005e-03
0.00101884    	3.140871e-03
0.00101894    	3.140741e-03
0.00101903    	3.140614e-03
0.00101913    	3.140494e-03
0.00101922    	3.140382e-03
0.00101932    	3.140277e-03
0.00101941    	3.140179e-03
0.00101951    	3.140087e-03
0.0010196     	3.139998e-03
0.0010197     	3.139910e-03
0.00101979    	3.139824e-03
0.00101989    	3.139742e-03
0.00101998    	3.139665e-03
0.00102008    	3.139593e-03
0.00102017    	3.139524e-03
0.00102027    	3.139461e-03
0.00102036    	3.139404e-03
0.00102046    	3.139353e-03
0.00102055    	3.139305e-03
0.00102065    	3.139260e-03
0.00102074    	3.139219e-03
0.00102084    	3.139183e-03
0.00102093    	3.139152e-03
0.00102103    	3.139124e-03
0.00102112    	3.139098e-03
0.00102122    	3.139074e-03
0.00102131    	3.139051e-03
0.00102141    	3.139026e-03
0.0010215     	3.139001e-03
0.0010216     	3.138978e-03
0.00102169    	3.138957e-03
0.00102179    	3.138937e-03
0.00102188    	3.138918e-03
0.00102198    	3.138899e-03
0.00102207    	3.138881e-03
0.00102217    	3.138863e-03
0.00102226    	3.138844e-03
0.00102236    	3.138824e-03
0.00102245    	3.138806e-03
0.00102255    	3.138791e-03
0.00102265    	3.138780e-03
0.00102274    	3.138771e-03
0.00102284    	3.138765e-03
0.00102293    	3.138760e-03
0.00102303    	3.138757e-03
0.00102312    	3.138753e-03
0.00102322    	3.138745e-03
0.00102331    	3.138734e-03
0.00102341    	3.138721e-03
0.0010235     	3.138704e-03
0.0010236     	3.138688e-03
0.00102369    	3.138673e-03
0.00102379    	3.138660e-03
0.00102388    	3.138645e-03
0.00102398    	3.138631e-03
0.00102408    	3.138616e-03
0.00102417    	3.138600e-03
0.00102427    	3.138583e-03
0.00102436    	3.138565e-03
0.00102446    	3.138547e-03
0.00102455    	3.138529e-03
0.00102465    	3.138512e-03
0.00102474    	3.138496e-03
0.00102484    	3.138480e-03
0.00102493    	3.138461e-03
0.00102503    	3.138441e-03
0.00102512    	3.138422e-03
0.00102522    	3.138405e-03
0.00102531    	3.138387e-03
0.0010254     	3.138366e-03
0.0010255     	3.138344e-03
0.00102559    	3.138322e-03
0.00102569    	3.138298e-03
0.00102578    	3.138275e-03
0.00102588    	3.138254e-03
0.00102597    	3.138234e-03
0.00102607    	3.138213e-03
0.00102616    	3.138193e-03
0.00102626    	3.138174e-03
0.00102635    	3.138156e-03
0.00102645    	3.138137e-03
0.00102654    	3.138121e-03
0.00102663    	3.138107e-03
0.00102673    	3.138094e-03
0.00102682    	3.138081e-03
0.00102692    	3.138068e-03
0.00102701    	3.138055e-03
0.00102711    	3.138038e-03
0.0010272     	3.138018e-03
0.00102729    	3.137999e-03
0.00102739    	3.137979e-03
0.00102748    	3.137960e-03
0.00102758    	3.137943e-03
0.00102767    	3.137927e-03
0.00102776    	3.137913e-03
0.00102786    	3.137901e-03
0.00102795    	3.137889e-03
0.00102805    	3.137876e-03
0.00102814    	3.137863e-03
0.00102823    	3.137847e-03
0.00102833    	3.137831e-03
0.00102842    	3.137819e-03
0.00102852    	3.137809e-03
0.00102861    	3.137798e-03
0.0010287     	3.137790e-03
0.0010288     	3.137787e-03
0.00102889    	3.137788e-03
0.00102899    	3.137793e-03
0.00102908    	3.137801e-03
0.00102917    	3.137811e-03
0.00102927    	3.137822e-03
0.00102936    	3.137834e-03
0.00102945    	3.137850e-03
0.00102955    	3.137869e-03
0.00102964    	3.137892e-03
0.00102974    	3.137919e-03
0.00102983    	3.137946e-03
0.00102992    	3.137973e-03
0.00103002    	3.138003e-03
0.00103011    	3.138036e-03
0.0010302     	3.138073e-03
0.0010303     	3.138110e-03
0.00103039    	3.138149e-03
0.00103048    	3.138193e-03
0.00103058    	3.138238e-03
0.00103067    	3.138283e-03
0.00103077    	3.138325e-03
0.00103086    	3.138371e-03
0.00103095    	3.138420e-03
0.00103105    	3.138472e-03
0.00103114    	3.138523e-03
0.00103123    	3.138575e-03
0.00103133    	3.138627e-03
0.00103142    	3.138681e-03
0.00103151    	3.138737e-03
0.00103161    	3.138795e-03
0.0010317     	3.138848e-03
0.00103179    	3.138903e-03
0.00103189    	3.138964e-03
0.00103198    	3.139031e-03
0.00103208    	3.139107e-03
0.00103217    	3.139187e-03
0.00103226    	3.139268e-03
0.00103236    	3.139346e-03
0.00103245    	3.139426e-03
0.00103254    	3.139509e-03
0.00103264    	3.139593e-03
0.00103273    	3.139682e-03
0.00103282    	3.139773e-03
0.00103292    	3.139862e-03
0.00103301    	3.139952e-03
0.0010331     	3.140046e-03
0.0010332     	3.140144e-03
0.00103329    	3.140243e-03
0.00103339    	3.140341e-03
0.00103348    	3.140437e-03
0.00103357    	3.140530e-03
0.00103367    	3.140621e-03
0.00103376    	3.140711e-03
0.00103385    	3.140799e-03
0.00103395    	3.140888e-03
0.00103404    	3.140976e-03
0.00103413    	3.141068e-03
0.00103423    	3.141163e-03
0.00103432    	3.141263e-03
0.00103442    	3.141367e-03
0.00103451    	3.141476e-03
0.0010346     	3.141587e-03
0.0010347     	3.141699e-03
0.00103479    	3.141814e-03
0.00103488    	3.141931e-03
0.00103498    	3.142050e-03
0.00103507    	3.142171e-03
0.00103517    	3.142295e-03
0.00103526    	3.142423e-03
0.00103535    	3.142556e-03
0.00103545    	3.142692e-03
0.00103554    	3.142833e-03
0.00103563    	3.142981e-03
0.00103573    	3.143135e-03
0.00103582    	3.143293e-03
0.00103592    	3.143458e-03
0.00103601    	3.143628e-03
0.0010361     	3.143805e-03
0.0010362     	3.143988e-03
0.00103629    	3.144175e-03
0.00103639    	3.144364e-03
0.00103648    	3.144555e-03
0.00103657    	3.144744e-03
0.00103667    	3.144932e-03
0.00103676    	3.145122e-03
0.00103685    	3.145308e-03
0.00103695    	3.145489e-03
0.00103704    	3.145669e-03
0.00103714    	3.145850e-03
0.00103723    	3.146034e-03
0.00103732    	3.146218e-03
0.00103742    	3.146398e-03
0.00103751    	3.146576e-03
0.0010376     	3.146749e-03
0.0010377     	3.146916e-03
0.00103779    	3.147076e-03
0.00103789    	3.147226e-03
0.00103798    	3.147371e-03
0.00103807    	3.147513e-03
0.00103817    	3.147653e-03
0.00103826    	3.147789e-03
0.00103836    	3.147922e-03
0.00103845    	3.148049e-03
0.00103854    	3.148166e-03
0.00103864    	3.148273e-03
0.00103873    	3.148369e-03
0.00103882    	3.148453e-03
0.00103892    	3.148528e-03
0.00103901    	3.148595e-03
0.00103911    	3.148655e-03
0.0010392     	3.148707e-03
0.00103929    	3.148750e-03
0.00103939    	3.148787e-03
0.00103948    	3.148817e-03
0.00103958    	3.148840e-03
0.00103967    	3.148856e-03
0.00103976    	3.148864e-03
0.00103986    	3.148866e-03
0.00103995    	3.148860e-03
0.00104005    	3.148851e-03
0.00104014    	3.148840e-03
0.00104023    	3.148827e-03
0.00104033    	3.148811e-03
0.00104042    	3.148792e-03
0.00104052    	3.148774e-03
0.00104061    	3.148756e-03
0.0010407     	3.148743e-03
0.0010408     	3.148737e-03
0.00104089    	3.148736e-03
0.00104099    	3.148743e-03
0.00104108    	3.148756e-03
0.00104117    	3.148774e-03
0.00104127    	3.148797e-03
0.00104136    	3.148828e-03
0.00104146    	3.148866e-03
0.00104155    	3.148911e-03
0.00104164    	3.148963e-03
0.00104174    	3.149013e-03
0.00104183    	3.149068e-03
0.00104193    	3.149131e-03
0.00104202    	3.149204e-03
0.00104212    	3.149280e-03
0.00104221    	3.149369e-03
0.0010423     	3.149473e-03
0.0010424     	3.149587e-03
0.00104249    	3.149703e-03
0.00104258    	3.149814e-03
0.00104268    	3.149924e-03
0.00104277    	3.150030e-03
0.00104287    	3.150131e-03
0.00104296    	3.150223e-03
0.00104305    	3.150307e-03
0.00104315    	3.150383e-03
0.00104324    	3.150448e-03
0.00104333    	3.150505e-03
0.00104343    	3.150552e-03
0.00104352    	3.150593e-03
0.00104361    	3.150624e-03
0.00104371    	3.150648e-03
0.0010438     	3.150666e-03
0.00104389    	3.150675e-03
0.00104399    	3.150681e-03
0.00104408    	3.150682e-03
0.00104417    	3.150680e-03
0.00104427    	3.150676e-03
0.00104436    	3.150672e-03
0.00104445    	3.150674e-03
0.00104455    	3.150684e-03
0.00104464    	3.150699e-03
0.00104473    	3.150717e-03
0.00104483    	3.150736e-03
0.00104492    	3.150756e-03
0.00104501    	3.150780e-03
0.00104511    	3.150808e-03
0.0010452     	3.150843e-03
0.00104529    	3.150888e-03
0.00104538    	3.150942e-03
0.00104548    	3.151002e-03
0.00104557    	3.151065e-03
0.00104566    	3.151134e-03
0.00104576    	3.151204e-03
0.00104585    	3.151278e-03
0.00104594    	3.151358e-03
0.00104603    	3.151443e-03
0.00104613    	3.151528e-03
0.00104622    	3.151615e-03
0.00104631    	3.151700e-03
0.0010464     	3.151786e-03
0.0010465     	3.151873e-03
0.00104659    	3.151954e-03
0.00104668    	3.152029e-03
0.00104677    	3.152100e-03
0.00104687    	3.152169e-03
0.00104696    	3.152238e-03
0.00104705    	3.152312e-03
0.00104714    	3.152391e-03
0.00104724    	3.152473e-03
0.00104733    	3.152554e-03
0.00104742    	3.152635e-03
0.00104751    	3.152715e-03
0.00104761    	3.152799e-03
0.0010477     	3.152888e-03
0.00104779    	3.152979e-03
0.00104788    	3.153065e-03
0.00104797    	3.153145e-03
0.00104807    	3.153219e-03
0.00104816    	3.153290e-03
0.00104825    	3.153362e-03
0.00104834    	3.153435e-03
0.00104843    	3.153510e-03
0.00104853    	3.153587e-03
0.00104862    	3.153666e-03
0.00104871    	3.153745e-03
0.0010488     	3.153827e-03
0.0010489     	3.153911e-03
0.00104899    	3.153999e-03
0.00104908    	3.154089e-03
0.00104917    	3.154182e-03
0.00104926    	3.154278e-03
0.00104935    	3.154377e-03
0.00104945    	3.154478e-03
0.00104954    	3.154580e-03
0.00104963    	3.154682e-03
0.00104972    	3.154781e-03
0.00104981    	3.154880e-03
0.00104991    	3.154978e-03
0.00105       	3.155071e-03
0.00105009    	3.155157e-03
0.00105018    	3.155238e-03
0.00105027    	3.155313e-03
0.00105037    	3.155383e-03
0.00105046    	3.155447e-03
0.00105055    	3.155504e-03
0.00105064    	3.155552e-03
0.00105073    	3.155593e-03
0.00105082    	3.155627e-03
0.00105092    	3.155656e-03
0.00105101    	3.155683e-03
0.0010511     	3.155706e-03
0.00105119    	3.155726e-03
0.00105128    	3.155742e-03
0.00105137    	3.155755e-03
0.00105146    	3.155769e-03
0.00105156    	3.155773e-03
0.00105165    	3.155767e-03
0.00105174    	3.155754e-03
0.00105183    	3.155739e-03
0.00105192    	3.155724e-03
0.00105201    	3.155712e-03
0.00105211    	3.155703e-03
0.0010522     	3.155704e-03
0.00105229    	3.155711e-03
0.00105238    	3.155724e-03
0.00105247    	3.155741e-03
0.00105256    	3.155762e-03
0.00105266    	3.155790e-03
0.00105275    	3.155823e-03
0.00105284    	3.155869e-03
0.00105293    	3.155926e-03
0.00105302    	3.155991e-03
0.00105311    	3.156064e-03
0.0010532     	3.156153e-03
0.0010533     	3.156256e-03
0.00105339    	3.156371e-03
0.00105348    	3.156497e-03
0.00105357    	3.156630e-03
0.00105366    	3.156773e-03
0.00105375    	3.156929e-03
0.00105385    	3.157098e-03
0.00105394    	3.157278e-03
0.00105403    	3.157468e-03
0.00105412    	3.157663e-03
0.00105421    	3.157862e-03
0.0010543     	3.158062e-03
0.00105439    	3.158263e-03
0.00105449    	3.158473e-03
0.00105458    	3.158690e-03
0.00105467    	3.158911e-03
0.00105476    	3.159136e-03
0.00105485    	3.159365e-03
0.00105494    	3.159597e-03
0.00105504    	3.159837e-03
0.00105513    	3.160088e-03
0.00105522    	3.160349e-03
0.00105531    	3.160616e-03
0.0010554     	3.160889e-03
0.00105549    	3.161172e-03
0.00105558    	3.161468e-03
0.00105568    	3.161774e-03
0.00105577    	3.162088e-03
0.00105586    	3.162407e-03
0.00105595    	3.162729e-03
0.00105604    	3.163059e-03
0.00105613    	3.163397e-03
0.00105623    	3.163746e-03
0.00105632    	3.164105e-03
0.00105641    	3.164475e-03
0.0010565     	3.164853e-03
0.00105659    	3.165237e-03
0.00105668    	3.165629e-03
0.00105678    	3.166028e-03
0.00105687    	3.166428e-03
0.00105696    	3.166832e-03
0.00105705    	3.167239e-03
0.00105714    	3.167646e-03
0.00105723    	3.168061e-03
0.00105733    	3.168484e-03
0.00105742    	3.168906e-03
0.00105751    	3.169325e-03
0.0010576     	3.169742e-03
0.00105769    	3.170163e-03
0.00105778    	3.170588e-03
0.00105788    	3.171009e-03
0.00105797    	3.171429e-03
0.00105806    	3.171845e-03
0.00105815    	3.172255e-03
0.00105824    	3.172656e-03
0.00105834    	3.173043e-03
0.00105843    	3.173414e-03
0.00105852    	3.173769e-03
0.00105861    	3.174103e-03
0.0010587     	3.174427e-03
0.00105879    	3.174742e-03
0.00105889    	3.175047e-03
0.00105898    	3.175338e-03
0.00105907    	3.175612e-03
0.00105916    	3.175869e-03
0.00105925    	3.176110e-03
0.00105935    	3.176336e-03
0.00105944    	3.176542e-03
0.00105953    	3.176734e-03
0.00105962    	3.176916e-03
0.00105971    	3.177086e-03
0.00105981    	3.177244e-03
0.0010599     	3.177387e-03
0.00105999    	3.177514e-03
0.00106008    	3.177625e-03
0.00106017    	3.177723e-03
0.00106027    	3.177808e-03
0.00106036    	3.177883e-03
0.00106045    	3.177949e-03
0.00106054    	3.178003e-03
0.00106063    	3.178046e-03
0.00106073    	3.178075e-03
0.00106082    	3.178090e-03
0.00106091    	3.178096e-03
0.001061      	3.178096e-03
0.0010611     	3.178088e-03
0.00106119    	3.178073e-03
0.00106128    	3.178049e-03
0.00106137    	3.178015e-03
0.00106146    	3.177970e-03
0.00106156    	3.177919e-03
0.00106165    	3.177859e-03
0.00106174    	3.177791e-03
0.00106183    	3.177713e-03
0.00106193    	3.177624e-03
0.00106202    	3.177523e-03
0.00106211    	3.177408e-03
0.0010622     	3.177281e-03
0.0010623     	3.177141e-03
0.00106239    	3.176987e-03
0.00106248    	3.176817e-03
0.00106257    	3.176633e-03
0.00106266    	3.176433e-03
0.00106276    	3.176221e-03
0.00106285    	3.175998e-03
0.00106294    	3.175765e-03
0.00106303    	3.175522e-03
0.00106313    	3.175273e-03
0.00106322    	3.175017e-03
0.00106331    	3.174759e-03
0.0010634     	3.174499e-03
0.0010635     	3.174237e-03
0.00106359    	3.173973e-03
0.00106368    	3.173707e-03
0.00106377    	3.173439e-03
0.00106387    	3.173169e-03
0.00106396    	3.172896e-03
0.00106405    	3.172619e-03
0.00106414    	3.172342e-03
0.00106424    	3.172064e-03
0.00106433    	3.171786e-03
0.00106442    	3.171506e-03
0.00106451    	3.171224e-03
0.00106461    	3.170939e-03
0.0010647     	3.170650e-03
0.00106479    	3.170358e-03
0.00106489    	3.170063e-03
0.00106498    	3.169769e-03
0.00106507    	3.169470e-03
0.00106516    	3.169170e-03
0.00106526    	3.168868e-03
0.00106535    	3.168565e-03
0.00106544    	3.168261e-03
0.00106553    	3.167953e-03
0.00106563    	3.167640e-03
0.00106572    	3.167323e-03
0.00106581    	3.167006e-03
0.00106591    	3.166691e-03
0.001066      	3.166378e-03
0.00106609    	3.166066e-03
0.00106618    	3.165751e-03
0.00106628    	3.165431e-03
0.00106637    	3.165106e-03
0.00106646    	3.164778e-03
0.00106656    	3.164447e-03
