# Region type : patch inlet
# Faces  :    700
# Area   :    1.406158e-05
# Time        	areaAverage(TMean)	areaAverage(UMean)
0             
1.19999e-08   	5.787000e+02	(4.569961e-01 -7.932321e-01 9.999581e+01)
2.63997e-08   	5.787000e+02	(4.569920e-01 -7.931046e-01 9.999581e+01)
4.36788e-08   	5.787000e+02	(4.569845e-01 -7.929458e-01 9.999581e+01)
6.44136e-08   	5.787000e+02	(4.569729e-01 -7.927481e-01 9.999581e+01)
8.92947e-08   	5.787000e+02	(4.569553e-01 -7.925010e-01 9.999582e+01)
1.19151e-07   	5.787000e+02	(4.569284e-01 -7.921905e-01 9.999582e+01)
1.54977e-07   	5.787000e+02	(4.568860e-01 -7.917992e-01 9.999582e+01)
1.97967e-07   	5.787000e+02	(4.568193e-01 -7.913085e-01 9.999583e+01)
2.49551e-07   	5.787000e+02	(4.567155e-01 -7.906986e-01 9.999583e+01)
3.10735e-07   	5.787000e+02	(4.565556e-01 -7.899524e-01 9.999584e+01)
3.81523e-07   	5.787000e+02	(4.563138e-01 -7.890523e-01 9.999585e+01)
4.61912e-07   	5.787000e+02	(4.559570e-01 -7.879581e-01 9.999586e+01)
5.51903e-07   	5.787000e+02	(4.554624e-01 -7.866206e-01 9.999587e+01)
6.48098e-07   	5.787000e+02	(4.548669e-01 -7.850718e-01 9.999588e+01)
7.44368e-07   	5.787000e+02	(4.542556e-01 -7.834275e-01 9.999590e+01)
8.40712e-07   	5.787000e+02	(4.536520e-01 -7.816772e-01 9.999592e+01)
9.37112e-07   	5.787000e+02	(4.530593e-01 -7.798138e-01 9.999593e+01)
1.03357e-06   	5.787000e+02	(4.524621e-01 -7.778314e-01 9.999595e+01)
1.13008e-06   	5.787000e+02	(4.518346e-01 -7.757269e-01 9.999597e+01)
1.22665e-06   	5.787000e+02	(4.511502e-01 -7.734994e-01 9.999599e+01)
1.32329e-06   	5.787000e+02	(4.503883e-01 -7.711500e-01 9.999601e+01)
1.41999e-06   	5.787000e+02	(4.495382e-01 -7.686818e-01 9.999603e+01)
1.51675e-06   	5.787000e+02	(4.485976e-01 -7.660983e-01 9.999606e+01)
1.61356e-06   	5.787000e+02	(4.475698e-01 -7.634033e-01 9.999608e+01)
