# Region type : patch outlet
# Faces  :    700
# Area   :    1.406158e-05
# Time        	sum(phi)
0             	3.135701e-03
1.19999e-08   	3.135743e-03
2.63997e-08   	3.135608e-03
4.36788e-08   	3.135422e-03
6.44136e-08   	3.135190e-03
8.92947e-08   	3.134881e-03
1.19151e-07   	3.134469e-03
1.54977e-07   	3.133933e-03
1.97967e-07   	3.133268e-03
2.49551e-07   	3.132502e-03
3.09806e-07   	3.131736e-03
3.78738e-07   	3.131074e-03
4.56355e-07   	3.130588e-03
5.42662e-07   	3.130298e-03
6.296e-07     	3.130175e-03
7.16492e-07   	3.130175e-03
8.03354e-07   	3.130286e-03
8.90201e-07   	3.130495e-03
9.77063e-07   	3.130783e-03
1.06394e-06   	3.131118e-03
1.15076e-06   	3.131464e-03
1.23753e-06   	3.131774e-03
1.32429e-06   	3.132006e-03
1.41106e-06   	3.132131e-03
1.49786e-06   	3.132142e-03
1.58468e-06   	3.132050e-03
1.67148e-06   	3.131888e-03
1.75828e-06   	3.131698e-03
1.84511e-06   	3.131523e-03
1.93197e-06   	3.131399e-03
2.01888e-06   	3.131351e-03
2.10583e-06   	3.131387e-03
2.1928e-06    	3.131503e-03
2.27976e-06   	3.131681e-03
2.36671e-06   	3.131899e-03
2.45366e-06   	3.132133e-03
2.54062e-06   	3.132361e-03
2.6276e-06    	3.132566e-03
2.7146e-06    	3.132738e-03
2.8016e-06    	3.132872e-03
2.8886e-06    	3.132969e-03
2.97558e-06   	3.133038e-03
3.06258e-06   	3.133088e-03
3.14959e-06   	3.133132e-03
3.23664e-06   	3.133187e-03
3.32371e-06   	3.133264e-03
3.41079e-06   	3.133373e-03
3.49786e-06   	3.133520e-03
3.58494e-06   	3.133703e-03
3.67203e-06   	3.133917e-03
3.75913e-06   	3.134152e-03
3.84627e-06   	3.134396e-03
3.93344e-06   	3.134638e-03
4.0206e-06    	3.134868e-03
4.10777e-06   	3.135083e-03
4.19494e-06   	3.135279e-03
4.28212e-06   	3.135456e-03
4.36933e-06   	3.135615e-03
4.45657e-06   	3.135759e-03
4.54382e-06   	3.135893e-03
4.63106e-06   	3.136019e-03
4.71831e-06   	3.136146e-03
4.80556e-06   	3.136274e-03
4.89284e-06   	3.136406e-03
4.98014e-06   	3.136547e-03
5.06746e-06   	3.136694e-03
5.15478e-06   	3.136846e-03
5.24211e-06   	3.136995e-03
5.32944e-06   	3.137141e-03
5.41681e-06   	3.137283e-03
5.50419e-06   	3.137414e-03
5.59159e-06   	3.137536e-03
5.67897e-06   	3.137650e-03
5.76634e-06   	3.137756e-03
5.85369e-06   	3.137857e-03
5.94104e-06   	3.137956e-03
6.02838e-06   	3.138056e-03
6.11571e-06   	3.138158e-03
6.20305e-06   	3.138266e-03
6.29035e-06   	3.138386e-03
6.37766e-06   	3.138517e-03
6.46495e-06   	3.138660e-03
6.55224e-06   	3.138816e-03
6.63951e-06   	3.138982e-03
6.7268e-06    	3.139158e-03
6.81407e-06   	3.139351e-03
6.90133e-06   	3.139555e-03
6.98858e-06   	3.139768e-03
7.0758e-06    	3.139988e-03
7.16303e-06   	3.140216e-03
7.25026e-06   	3.140452e-03
7.33749e-06   	3.140696e-03
7.4247e-06    	3.140953e-03
7.5119e-06    	3.141222e-03
7.59909e-06   	3.141503e-03
7.68629e-06   	3.141792e-03
7.77347e-06   	3.142087e-03
7.86067e-06   	3.142386e-03
7.94785e-06   	3.142690e-03
8.03502e-06   	3.142997e-03
8.12218e-06   	3.143309e-03
8.20933e-06   	3.143623e-03
8.29648e-06   	3.143939e-03
8.38363e-06   	3.144257e-03
8.47078e-06   	3.144575e-03
8.55793e-06   	3.144887e-03
8.64507e-06   	3.145197e-03
8.73219e-06   	3.145509e-03
8.81931e-06   	3.145820e-03
8.90643e-06   	3.146134e-03
8.99355e-06   	3.146449e-03
9.08068e-06   	3.146761e-03
9.1678e-06    	3.147068e-03
9.25491e-06   	3.147368e-03
9.34201e-06   	3.147658e-03
9.42912e-06   	3.147939e-03
9.51622e-06   	3.148209e-03
9.60332e-06   	3.148469e-03
9.69043e-06   	3.148720e-03
9.77753e-06   	3.148962e-03
9.86462e-06   	3.149193e-03
9.95171e-06   	3.149412e-03
1.00388e-05   	3.149617e-03
1.01259e-05   	3.149810e-03
1.0213e-05    	3.149989e-03
1.03001e-05   	3.150155e-03
1.03872e-05   	3.150308e-03
1.04742e-05   	3.150447e-03
1.05613e-05   	3.150575e-03
1.06484e-05   	3.150693e-03
1.07355e-05   	3.150801e-03
1.08226e-05   	3.150898e-03
1.09096e-05   	3.150984e-03
1.09967e-05   	3.151056e-03
1.10838e-05   	3.151117e-03
1.11708e-05   	3.151169e-03
1.12579e-05   	3.151214e-03
1.1345e-05    	3.151253e-03
1.14321e-05   	3.151286e-03
1.15192e-05   	3.151311e-03
1.16063e-05   	3.151328e-03
1.16933e-05   	3.151335e-03
1.17804e-05   	3.151333e-03
1.18675e-05   	3.151320e-03
1.19545e-05   	3.151296e-03
1.20416e-05   	3.151261e-03
1.21286e-05   	3.151216e-03
1.22156e-05   	3.151159e-03
1.23026e-05   	3.151093e-03
1.23896e-05   	3.151018e-03
1.24766e-05   	3.150934e-03
1.25636e-05   	3.150841e-03
1.26505e-05   	3.150739e-03
1.27374e-05   	3.150630e-03
1.28243e-05   	3.150511e-03
1.29112e-05   	3.150383e-03
1.2998e-05    	3.150245e-03
1.30849e-05   	3.150097e-03
1.31718e-05   	3.149942e-03
1.32586e-05   	3.149781e-03
1.33455e-05   	3.149612e-03
1.34323e-05   	3.149437e-03
1.3519e-05    	3.149255e-03
1.36058e-05   	3.149068e-03
1.36926e-05   	3.148876e-03
1.37793e-05   	3.148680e-03
1.38661e-05   	3.148480e-03
1.39528e-05   	3.148276e-03
1.40396e-05   	3.148069e-03
1.41263e-05   	3.147855e-03
1.42129e-05   	3.147636e-03
1.42996e-05   	3.147412e-03
1.43863e-05   	3.147188e-03
1.4473e-05    	3.146962e-03
1.45596e-05   	3.146735e-03
1.46463e-05   	3.146506e-03
1.4733e-05    	3.146271e-03
1.48196e-05   	3.146031e-03
1.49062e-05   	3.145790e-03
1.49929e-05   	3.145548e-03
1.50794e-05   	3.145302e-03
1.5166e-05    	3.145049e-03
1.52526e-05   	3.144792e-03
1.53392e-05   	3.144530e-03
1.54258e-05   	3.144265e-03
1.55124e-05   	3.143996e-03
1.5599e-05    	3.143722e-03
1.56856e-05   	3.143444e-03
1.57721e-05   	3.143163e-03
1.58587e-05   	3.142878e-03
1.59452e-05   	3.142593e-03
1.60318e-05   	3.142307e-03
1.61183e-05   	3.142021e-03
1.62049e-05   	3.141734e-03
1.62914e-05   	3.141448e-03
1.6378e-05    	3.141162e-03
1.64645e-05   	3.140876e-03
1.6551e-05    	3.140595e-03
1.66375e-05   	3.140317e-03
1.6724e-05    	3.140043e-03
1.68106e-05   	3.139773e-03
1.68971e-05   	3.139507e-03
1.69836e-05   	3.139247e-03
1.70701e-05   	3.138993e-03
1.71567e-05   	3.138747e-03
1.72432e-05   	3.138508e-03
1.73297e-05   	3.138278e-03
1.74162e-05   	3.138055e-03
1.75026e-05   	3.137838e-03
1.75891e-05   	3.137627e-03
1.76755e-05   	3.137422e-03
1.77619e-05   	3.137224e-03
1.78483e-05   	3.137036e-03
1.79348e-05   	3.136856e-03
1.80212e-05   	3.136685e-03
1.81076e-05   	3.136520e-03
1.8194e-05    	3.136360e-03
