# Region type : patch outlet
# Faces  :    700
# Area   :    1.406158e-05
# Time        	areaAverage(TMean)	areaAverage(UMean)
0             
1.19999e-08   	9.090875e+02	(5.894590e-01 1.422628e+00 1.725940e+02)
2.63997e-08   	9.090919e+02	(5.885109e-01 1.422652e+00 1.725926e+02)
4.36788e-08   	9.090975e+02	(5.873532e-01 1.422665e+00 1.725910e+02)
6.44136e-08   	9.091041e+02	(5.859346e-01 1.422657e+00 1.725892e+02)
8.92947e-08   	9.091123e+02	(5.841884e-01 1.422619e+00 1.725869e+02)
1.19151e-07   	9.091222e+02	(5.820301e-01 1.422541e+00 1.725843e+02)
1.54977e-07   	9.091343e+02	(5.793569e-01 1.422415e+00 1.725813e+02)
1.97967e-07   	9.091491e+02	(5.760547e-01 1.422230e+00 1.725777e+02)
2.49551e-07   	9.091674e+02	(5.720090e-01 1.421970e+00 1.725736e+02)
3.10735e-07   	9.091896e+02	(5.671824e-01 1.421621e+00 1.725689e+02)
3.81523e-07   	9.092158e+02	(5.616455e-01 1.421187e+00 1.725641e+02)
4.61912e-07   	9.092459e+02	(5.554237e-01 1.420679e+00 1.725595e+02)
5.51903e-07   	9.092798e+02	(5.485066e-01 1.420079e+00 1.725555e+02)
6.48098e-07   	9.093158e+02	(5.412238e-01 1.419369e+00 1.725527e+02)
7.44368e-07   	9.093513e+02	(5.341372e-01 1.418570e+00 1.725510e+02)
8.40712e-07   	9.093858e+02	(5.271931e-01 1.417678e+00 1.725502e+02)
9.37112e-07   	9.094190e+02	(5.203739e-01 1.416716e+00 1.725501e+02)
1.03357e-06   	9.094507e+02	(5.136677e-01 1.415716e+00 1.725503e+02)
1.13008e-06   	9.094809e+02	(5.070601e-01 1.414704e+00 1.725508e+02)
1.22665e-06   	9.095093e+02	(5.005331e-01 1.413687e+00 1.725514e+02)
1.32329e-06   	9.095362e+02	(4.940666e-01 1.412652e+00 1.725520e+02)
1.41999e-06   	9.095615e+02	(4.876441e-01 1.411579e+00 1.725526e+02)
1.51675e-06   	9.095854e+02	(4.812491e-01 1.410439e+00 1.725532e+02)
1.61356e-06   	9.096080e+02	(4.748666e-01 1.409209e+00 1.725538e+02)
1.71042e-06   	9.096293e+02	(4.684820e-01 1.407869e+00 1.725545e+02)
1.80737e-06   	9.096494e+02	(4.620795e-01 1.406407e+00 1.725552e+02)
1.90437e-06   	9.096684e+02	(4.556468e-01 1.404819e+00 1.725560e+02)
2.00144e-06   	9.096863e+02	(4.491701e-01 1.403103e+00 1.725567e+02)
2.0986e-06    	9.097032e+02	(4.426397e-01 1.401259e+00 1.725575e+02)
2.19584e-06   	9.097192e+02	(4.360472e-01 1.399288e+00 1.725582e+02)
2.29318e-06   	9.097344e+02	(4.293888e-01 1.397192e+00 1.725590e+02)
