# Region type : patch outlet
# Faces  :    1008
# Area   :    1.407929e-05
# Time        	sum(phi)
0             	3.124300e-03
1.19999e-08   	3.121751e-03
2.63997e-08   	3.121751e-03
4.36788e-08   	3.121752e-03
6.44136e-08   	3.121752e-03
8.92947e-08   	3.121754e-03
1.19151e-07   	3.121758e-03
1.54977e-07   	3.121768e-03
1.97967e-07   	3.121789e-03
2.49551e-07   	3.121828e-03
3.10638e-07   	3.121893e-03
3.81216e-07   	3.121988e-03
4.6127e-07    	3.122108e-03
5.50793e-07   	3.122250e-03
6.45457e-07   	3.122407e-03
7.4014e-07    	3.122569e-03
8.34858e-07   	3.122733e-03
9.29594e-07   	3.122902e-03
1.02429e-06   	3.123077e-03
1.11898e-06   	3.123256e-03
1.21366e-06   	3.123434e-03
1.30836e-06   	3.123606e-03
1.40311e-06   	3.123768e-03
1.49792e-06   	3.123922e-03
1.5928e-06    	3.124063e-03
1.68768e-06   	3.124186e-03
1.78258e-06   	3.124288e-03
1.87748e-06   	3.124367e-03
1.97241e-06   	3.124423e-03
2.06739e-06   	3.124456e-03
2.16239e-06   	3.124472e-03
2.25742e-06   	3.124472e-03
2.35244e-06   	3.124460e-03
2.44747e-06   	3.124439e-03
2.54251e-06   	3.124416e-03
2.63759e-06   	3.124394e-03
2.73269e-06   	3.124382e-03
2.82782e-06   	3.124387e-03
2.92296e-06   	3.124413e-03
3.01809e-06   	3.124467e-03
3.11323e-06   	3.124553e-03
3.20836e-06   	3.124671e-03
3.30353e-06   	3.124820e-03
3.39872e-06   	3.124998e-03
3.49395e-06   	3.125199e-03
3.58915e-06   	3.125419e-03
3.68438e-06   	3.125651e-03
3.77961e-06   	3.125885e-03
3.87487e-06   	3.126114e-03
3.97015e-06   	3.126331e-03
4.06548e-06   	3.126529e-03
4.16084e-06   	3.126699e-03
4.25619e-06   	3.126833e-03
4.35156e-06   	3.126929e-03
4.44695e-06   	3.126987e-03
4.54238e-06   	3.127007e-03
4.63783e-06   	3.126991e-03
4.73333e-06   	3.126941e-03
4.82883e-06   	3.126861e-03
4.92433e-06   	3.126756e-03
5.01985e-06   	3.126633e-03
5.11538e-06   	3.126497e-03
5.21094e-06   	3.126357e-03
5.30653e-06   	3.126219e-03
5.40213e-06   	3.126092e-03
5.49772e-06   	3.125981e-03
5.59333e-06   	3.125893e-03
5.68896e-06   	3.125833e-03
5.78459e-06   	3.125805e-03
5.88022e-06   	3.125812e-03
5.97585e-06   	3.125859e-03
6.0715e-06    	3.125950e-03
6.16717e-06   	3.126085e-03
6.26287e-06   	3.126265e-03
6.35857e-06   	3.126492e-03
6.45428e-06   	3.126765e-03
6.55e-06      	3.127083e-03
6.64574e-06   	3.127450e-03
6.74152e-06   	3.127862e-03
6.83734e-06   	3.128320e-03
6.93315e-06   	3.128817e-03
7.02899e-06   	3.129354e-03
7.12482e-06   	3.129932e-03
7.22067e-06   	3.130548e-03
7.31654e-06   	3.131203e-03
7.41245e-06   	3.131895e-03
7.50836e-06   	3.132622e-03
7.60427e-06   	3.133381e-03
7.70018e-06   	3.134172e-03
7.79609e-06   	3.134994e-03
7.89202e-06   	3.135844e-03
7.98796e-06   	3.136717e-03
8.08389e-06   	3.137609e-03
8.17982e-06   	3.138519e-03
8.27573e-06   	3.139441e-03
8.37165e-06   	3.140372e-03
8.46758e-06   	3.141309e-03
8.56351e-06   	3.142249e-03
8.65942e-06   	3.143187e-03
8.75533e-06   	3.144119e-03
8.85122e-06   	3.145042e-03
8.94711e-06   	3.145952e-03
9.04301e-06   	3.146844e-03
9.1389e-06    	3.147716e-03
9.23478e-06   	3.148559e-03
9.33065e-06   	3.149371e-03
