# Region type : patch outlet
# Faces  :    1008
# Area   :    1.407929e-05
# Time        	areaAverage(TMean)	areaAverage(UMean)
0.001         
0.0010001     	9.097705e+02	(-3.040132e-02 5.609596e-03 1.727440e+02)
0.00100019    	9.097699e+02	(-3.038322e-02 5.606945e-03 1.727438e+02)
0.00100029    	9.097694e+02	(-3.036542e-02 5.603356e-03 1.727437e+02)
0.00100038    	9.097688e+02	(-3.034786e-02 5.598875e-03 1.727436e+02)
0.00100048    	9.097683e+02	(-3.033045e-02 5.593551e-03 1.727435e+02)
0.00100057    	9.097678e+02	(-3.031313e-02 5.587441e-03 1.727434e+02)
0.00100067    	9.097673e+02	(-3.029581e-02 5.580594e-03 1.727432e+02)
0.00100076    	9.097668e+02	(-3.027840e-02 5.573063e-03 1.727431e+02)
0.00100086    	9.097664e+02	(-3.026083e-02 5.564899e-03 1.727430e+02)
0.00100095    	9.097659e+02	(-3.024301e-02 5.556153e-03 1.727429e+02)
0.00100105    	9.097655e+02	(-3.022486e-02 5.546876e-03 1.727428e+02)
0.00100115    	9.097650e+02	(-3.020631e-02 5.537126e-03 1.727427e+02)
0.00100124    	9.097646e+02	(-3.018730e-02 5.526953e-03 1.727425e+02)
0.00100134    	9.097642e+02	(-3.016775e-02 5.516410e-03 1.727424e+02)
0.00100143    	9.097638e+02	(-3.014759e-02 5.505548e-03 1.727423e+02)
0.00100153    	9.097634e+02	(-3.012675e-02 5.494414e-03 1.727422e+02)
0.00100162    	9.097630e+02	(-3.010517e-02 5.483057e-03 1.727421e+02)
0.00100172    	9.097627e+02	(-3.008280e-02 5.471526e-03 1.727420e+02)
0.00100181    	9.097623e+02	(-3.005959e-02 5.459877e-03 1.727418e+02)
0.00100191    	9.097620e+02	(-3.003550e-02 5.448154e-03 1.727417e+02)
0.001002      	9.097616e+02	(-3.001047e-02 5.436400e-03 1.727416e+02)
0.0010021     	9.097613e+02	(-2.998446e-02 5.424656e-03 1.727415e+02)
0.00100219    	9.097610e+02	(-2.995744e-02 5.412964e-03 1.727414e+02)
0.00100229    	9.097606e+02	(-2.992936e-02 5.401364e-03 1.727413e+02)
0.00100238    	9.097603e+02	(-2.990021e-02 5.389899e-03 1.727411e+02)
0.00100248    	9.097600e+02	(-2.986998e-02 5.378612e-03 1.727410e+02)
0.00100257    	9.097597e+02	(-2.983864e-02 5.367533e-03 1.727409e+02)
0.00100267    	9.097595e+02	(-2.980618e-02 5.356697e-03 1.727408e+02)
0.00100277    	9.097592e+02	(-2.977259e-02 5.346131e-03 1.727407e+02)
0.00100286    	9.097589e+02	(-2.973784e-02 5.335867e-03 1.727406e+02)
0.00100296    	9.097586e+02	(-2.970194e-02 5.325931e-03 1.727405e+02)
0.00100305    	9.097584e+02	(-2.966493e-02 5.316360e-03 1.727403e+02)
0.00100315    	9.097581e+02	(-2.962680e-02 5.307174e-03 1.727402e+02)
0.00100324    	9.097579e+02	(-2.958756e-02 5.298394e-03 1.727401e+02)
0.00100334    	9.097576e+02	(-2.954722e-02 5.290037e-03 1.727400e+02)
0.00100343    	9.097574e+02	(-2.950578e-02 5.282121e-03 1.727399e+02)
0.00100353    	9.097571e+02	(-2.946327e-02 5.274663e-03 1.727398e+02)
0.00100362    	9.097569e+02	(-2.941972e-02 5.267679e-03 1.727397e+02)
0.00100372    	9.097567e+02	(-2.937519e-02 5.261188e-03 1.727396e+02)
0.00100381    	9.097565e+02	(-2.932970e-02 5.255199e-03 1.727394e+02)
0.00100391    	9.097563e+02	(-2.928327e-02 5.249721e-03 1.727393e+02)
0.001004      	9.097560e+02	(-2.923594e-02 5.244761e-03 1.727392e+02)
0.0010041     	9.097558e+02	(-2.918773e-02 5.240327e-03 1.727391e+02)
0.00100419    	9.097556e+02	(-2.913875e-02 5.236428e-03 1.727390e+02)
0.00100429    	9.097555e+02	(-2.908903e-02 5.233067e-03 1.727389e+02)
0.00100438    	9.097553e+02	(-2.903862e-02 5.230246e-03 1.727388e+02)
0.00100448    	9.097551e+02	(-2.898756e-02 5.227966e-03 1.727387e+02)
0.00100457    	9.097549e+02	(-2.893586e-02 5.226224e-03 1.727386e+02)
0.00100467    	9.097547e+02	(-2.888358e-02 5.225020e-03 1.727384e+02)
0.00100476    	9.097545e+02	(-2.883076e-02 5.224350e-03 1.727383e+02)
0.00100486    	9.097544e+02	(-2.877743e-02 5.224212e-03 1.727382e+02)
0.00100495    	9.097542e+02	(-2.872366e-02 5.224601e-03 1.727381e+02)
0.00100505    	9.097541e+02	(-2.866949e-02 5.225512e-03 1.727380e+02)
0.00100514    	9.097539e+02	(-2.861504e-02 5.226935e-03 1.727379e+02)
0.00100524    	9.097538e+02	(-2.856036e-02 5.228863e-03 1.727378e+02)
