# y+ ()       
# Time        	patch         	min           	max           	average       
0             	walls	2.683007e-01	1.815051e+00	1.247266e+00
0             	heatedWalls	1.282130e-01	1.644002e+00	8.695793e-01
0.0005        	walls	3.591262e-01	1.618047e+00	9.552096e-01
0.0005        	heatedWalls	1.056409e-01	1.368375e+00	6.738828e-01
0.001         	walls	3.603861e-01	1.587252e+00	9.663453e-01
0.001         	heatedWalls	1.114800e-01	1.328584e+00	6.697765e-01
0.0015        	walls	2.143840e-01	1.517872e+00	9.521637e-01
0.0015        	heatedWalls	1.657608e-01	1.296968e+00	6.661352e-01
0.002         	walls	3.991808e-01	1.496675e+00	9.471158e-01
0.002         	heatedWalls	7.838575e-02	1.243989e+00	6.683981e-01
0.0025        	walls	3.081073e-01	1.474016e+00	9.557618e-01
0.0025        	heatedWalls	1.500176e-01	1.272861e+00	6.690050e-01
0.003         	walls	3.336350e-01	1.514182e+00	9.323214e-01
0.003         	heatedWalls	6.596750e-02	1.365653e+00	6.703532e-01
